Date,REEL,PE,MSCIWORLD,IG,GOV,HY
2005-10-10,1.0,1.0,1.0,1.0,1.0,1.0
2005-10-11,1.003231400069361,1.00683313163246,1.004577855076643,0.9986580470500374,0.9980842631317242,0.9959248114213233
2005-10-12,0.9996695159019972,0.9971103262614537,0.9966747470014148,0.9960558252427185,0.9965172224535239,0.9915729958033654
2005-10-13,0.9810767253513945,0.9864489943770736,0.9972604961746074,0.9937336631814788,0.9934654333979815,0.988179254321454
2005-10-14,0.9733695097819213,0.9879967398552693,0.9942776811541963,0.9931735436893204,0.9935254091426745,0.9897782935485178
2005-10-17,0.9698525061710765,0.9884824684893839,0.997548864998333,0.9936286407766991,0.9933001514038857,0.9951691473140188
2005-10-18,0.9734674309961444,0.9868770941901915,0.9958096405302382,0.9943696321882002,0.9935791083559462,0.9982592737528168
2005-10-19,0.9626022562679778,0.9817975252537725,0.9942596581027133,0.9955190440627334,0.9954397512261902,0.9971527655956928
2005-10-20,0.969901466778188,0.9809166275613952,0.9878885094035271,0.9949355862584018,0.9934640386132214,0.9980905987288651
2005-10-21,0.9631571431485751,0.9867124404159153,0.9856536510196542,0.9977886949215833,0.9970695572186039,1.0004048200574844
2005-10-24,0.9755360166466064,0.9886800530185154,0.9994142508268075,0.996732636295743,0.9977006973226409,1.0015720512232313
2005-10-25,0.9756012974560886,0.9801509875110112,0.9928628716127929,0.9940895724421209,0.9933161914286291,1.001180725167663
2005-10-26,0.9705053142658969,0.9877991553261378,0.9930611251791042,0.9905771564600447,0.9897657668212786,0.9980231287192842
2005-10-27,0.9644872396417715,0.9787596631183777,0.9813281186637711,0.9910905993278567,0.9878500299530028,0.9957426423954552
2005-10-28,0.9635569881066527,0.9806614142112673,0.9911056240932152,0.9909622386109036,0.9877768037530869,0.9945754112297084
2005-10-31,0.9782125298353701,1.001877053026748,1.0107867963124837,0.9916798917102316,0.9891827467914721,0.9954592683552161
2005-11-01,0.9827495460943717,0.9929198877061258,1.0104713929115339,0.9907230209111277,0.9868862336836335,0.9958978234174909
2005-11-02,0.9834064342397847,1.00075740736167,1.0136524614982563,0.9891943614637789,0.9855040019861735,0.9963633664835981
2005-11-03,0.9989106264917686,1.0118386063704545,1.0247907073146554,0.9879457617625094,0.9847766217336756,0.9973889106292253
2005-11-04,1.007225769599543,1.0168276157310214,1.0365687714586957,0.9870705750560119,0.983202607131674,0.9968356565506633
2005-11-07,1.0133499255390768,1.0275877398799673,1.0402905315899036,0.9877940627333832,0.9832430558897226,0.9971257775918605
2005-11-08,1.013896652318489,1.028032305070513,1.0414980760392543,0.990378780806572,0.9856909031440539,0.9977465016800032
2005-11-09,1.0108406944246109,1.0323050705129788,1.0430120123638134,0.9878699122479462,0.9817959667009086,0.9964713184989272
2005-11-10,1.0126155164324038,1.04350975985247,1.045814596869396,0.9897894884241971,0.982668404568478,0.9963026434749753
2005-11-11,1.0252718333707338,1.0489433344035828,1.0546549036217323,0.9901045556385363,0.9834362335790247,0.9964983065027595
2005-11-14,1.024394622493319,1.0525245539940888,1.052645333381395,0.9891943614637789,0.9830847478194283,0.9937860121176137
2005-11-15,1.0222240355780412,1.0417479644677154,1.0505096017806774,0.9915807038834953,0.984100848517309,0.9932260110380936
2005-11-16,1.0268956935065996,1.0416244741370084,1.051437788932044,0.9949705937266617,0.9885292901312701,0.9924973349346216
2005-11-17,1.0268508129500808,1.0460124972214675,1.0572772576124865,0.9954315253920837,0.9874350814868126,0.9913638387736651
2005-11-18,1.0304942981292968,1.0446047074514064,1.0641800863304165,0.9929693334578045,0.981336385122389,0.9938264941233622
2005-11-21,1.0241579795589466,1.05520841051479,1.0672800511854663,0.9953673450336072,0.9853254695368548,0.9953850513446774
2005-11-22,1.0242069401660583,1.053545407394601,1.0713712838720724,0.996120005601195,0.985271072931203,0.9959113174194071
2005-11-23,1.0279646667618678,1.0623790823845158,1.0712000648829854,0.9950931198655713,0.986276015351001,0.9959383054232394
2005-11-24,1.0177931006344478,1.0652522907456345,1.0709477421622255,,0.9911103393302104,
2005-11-25,1.0268875334054142,1.0668905957996822,1.076327623029855,0.9978061986557132,0.9899282592458538,0.9967749335420405
2005-11-28,1.0210408209061792,1.057126626985107,1.0668565094756195,0.99885642270351,0.9900523950895208,0.9988192748323369
2005-11-29,1.018099104428895,1.070224834728774,1.0689652064991124,0.9963592233009709,0.9874308971325317,0.9992173478888635
2005-11-30,1.0137008098900429,1.06262606304593,1.0611161675783327,0.9961491784914115,0.988307519354382,0.9991633718811989
2005-12-01,1.0206409759481019,1.0806885820840229,1.0793735187304563,0.9961841859596714,0.9909987565493861,0.9998448189779643
2005-12-02,1.025696158632367,1.080721512838878,1.0858257711613153,0.9961725168035848,0.9922205879994114,0.9996289149473059
2005-12-05,1.0241702197107245,1.084047519079256,1.079580783822509,0.9946321882001494,0.9910740749264425,0.9990284318620373
2005-12-06,1.023847895713907,1.081487152889262,1.0806261208085142,0.9971643950709486,0.9934619464360809,0.9992645768955699
2005-12-07,1.027417939982456,1.0835206270015723,1.0818877344123135,0.9959974794622852,0.991459035520286,0.9997840959693416
2005-12-08,1.021754829759889,1.0736084697901487,1.0729212662995973,0.9980920929798357,0.9928705576977125,1.000917592130298
2005-12-09,1.02298292498827,1.0771073624935166,1.0755526318160928,0.9949239171023151,0.9891980894238354,1.002361450335326
2005-12-12,1.0194822415797955,1.067154041838524,1.0715425028611596,0.9953556758775206,0.9912839900328682,1.0037445855317313
