Date,Price
2017-03-02,198.091420128
2017-03-01,197.90318684
2017-02-28,199.106273583
2017-02-27,198.755887374
2017-02-24,199.066730368
2017-02-23,198.200905155
2017-02-22,197.707226632
2017-02-21,197.764576446
2017-02-17,197.1165672
2017-02-16,195.994629574
2017-02-15,196.002323394
2017-02-14,196.59838572
2017-02-13,196.858139358
2017-02-10,196.362584691
2017-02-09,196.670332296
2017-02-08,196.484390748
2017-02-07,196.00570422
2017-02-06,194.851151496
2017-02-03,194.330683944
2017-02-02,194.931881366
2017-02-01,194.058272184
2017-01-31,194.30654425
2017-01-30,194.978195712
2017-01-27,194.79881637
2017-01-26,194.710010766
2017-01-25,194.38322835
2017-01-24,195.279774768
2017-01-23,195.019908864
2017-01-20,194.61044471
2017-01-19,195.048366292
2017-01-18,197.171269547
2017-01-17,196.208121811
2017-01-13,196.0903216
2017-01-12,197.336334732
2017-01-11,195.991485102
2017-01-10,197.40886476
2017-01-09,196.588291438
2017-01-06,197.38131214
2017-01-05,196.786338012
2017-01-04,197.31991223
2017-01-03,198.233238672
2016-12-30,197.85778032
2016-12-29,197.828170735
2016-12-28,198.196246248
2016-12-27,197.306424672
2016-12-23,197.51544331
2016-12-22,197.645783471
2016-12-21,197.869629496
2016-12-20,197.911580658
2016-12-19,198.241040985
2016-12-16,196.376226108
2016-12-15,196.972283668
2016-12-14,197.650575124
2016-12-13,195.708686846
2016-12-12,195.03434181
2016-12-09,196.314552104
2016-12-08,196.293933402
2016-12-07,195.24015927
2016-12-06,195.21170487
2016-12-05,194.37154272
2016-12-02,195.90969235
2016-12-01,195.155834577
2016-11-30,197.165151
2016-11-29,196.681148764
2016-11-28,197.038307856
2016-11-25,196.993458288
2016-11-24,197.321662277
2016-11-23,197.042650607
2016-11-22,196.954723372
2016-11-21,197.0033373
2016-11-18,197.426652264
2016-11-17,198.18191965
2016-11-16,197.215045894
2016-11-15,197.038102876
2016-11-14,196.665727296
2016-11-10,196.404418548
2016-11-09,197.922253048
2016-11-07,197.269981524
2016-11-04,196.670414861
2016-11-03,196.767100134
2016-11-02,197.104066852
2016-11-01,196.704225248
2016-10-28,197.01663045
2016-10-27,198.772930656
2016-10-26,199.408482536
2016-10-24,200.145089576
2016-10-21,200.284141655
2016-10-20,199.753636772
2016-10-19,199.286085229
2016-10-18,198.959869108
2016-10-17,198.365882818
2016-10-14,198.764944998
2016-10-13,197.900331673
2016-10-12,198.20136798
2016-10-11,197.92325845
2016-10-10,197.212013895
2016-10-07,196.464123036
2016-10-06,197.35281126
2016-10-05,196.9546156
2016-10-04,197.47541678
2016-10-03,198.384368874
2016-09-30,198.26124612
2016-09-29,198.711040513
2016-09-28,198.95209857
2016-09-27,199.00428208
2016-09-26,198.371473335
2016-09-23,198.30138163
2016-09-22,198.70468086
2016-09-21,197.745979
2016-09-20,198.2621634
2016-09-19,197.673072113
2016-09-16,197.77374974
2016-09-15,196.65266304
2016-09-14,196.616872986
2016-09-13,197.10039775
2016-09-12,197.120421015
2016-09-09,197.007738165
2016-09-08,198.183330466
2016-09-07,199.048673376
2016-09-06,198.426835973
2016-09-05,198.893706054
2016-09-02,198.473292664
2016-09-01,198.415203146
2016-08-31,198.813588118
2016-08-30,199.487851597
2016-08-29,199.001701783
2016-08-26,199.82360189
2016-08-25,198.51878332
2016-08-24,198.770134304
2016-08-23,198.623355824
2016-08-22,198.223723224
2016-08-19,197.7005212
2016-08-18,197.69518969
2016-08-17,198.10571715
2016-08-16,198.021350708
2016-08-15,199.421080677
2016-08-12,200.09993562
2016-08-11,200.170552879
2016-08-10,199.687789239
2016-08-09,199.732299264
2016-08-08,199.460145591
2016-08-05,199.686427088
2016-08-04,199.848212823
2016-08-03,199.23406828
2016-08-02,198.219554957
2016-08-01,199.229486344
2016-07-29,199.490696274
2016-07-28,199.585751306
2016-07-27,199.122722729
2016-07-26,200.085420425
2016-07-25,199.593135808
2016-07-22,199.782491664
