sep=;
"Date";"Open(QEURIBOR1MD=)";"High(QEURIBOR1MD=)";"Low(QEURIBOR1MD=)";"Last(QEURIBOR1MD=)"
"01.03.2024";"";"";"";"3,817"
"29.02.2024";"";"";"";"3,865"
"28.02.2024";"";"";"";"3,856"
"27.02.2024";"";"";"";"3,855"
"26.02.2024";"";"";"";"3,843"
"23.02.2024";"";"";"";"3,851"
"22.02.2024";"";"";"";"3,864"
"21.02.2024";"";"";"";"3,886"
"20.02.2024";"";"";"";"3,895"
"19.02.2024";"";"";"";"3,851"
"16.02.2024";"";"";"";"3,881"
"15.02.2024";"";"";"";"3,877"
"14.02.2024";"";"";"";"3,871"
"13.02.2024";"";"";"";"3,862"
"12.02.2024";"";"";"";"3,882"
"09.02.2024";"";"";"";"3,835"
"08.02.2024";"";"";"";"3,873"
"07.02.2024";"";"";"";"3,874"
