Date;Open;High;Low;Last;Volume;Status
31.12.1996;84,219;0
02.01.1997;83,96;0
03.01.1997;83,841;0
06.01.1997;83,861;0
07.01.1997;83,91;0
08.01.1997;84,036;0
09.01.1997;84,191;0
10.01.1997;84,419;0
13.01.1997;84,715;0
14.01.1997;84,798;0
15.01.1997;85,036;0
16.01.1997;85,145;0
17.01.1997;85,12;0
20.01.1997;85,25;0
21.01.1997;85,172;0
22.01.1997;85,312;0
23.01.1997;85,234;0
24.01.1997;85,079;0
27.01.1997;85,06;0
28.01.1997;85,012;0
29.01.1997;85,059;0
30.01.1997;85,195;0
31.01.1997;85,23;0
03.02.1997;85,389;0
04.02.1997;85,437;0
05.02.1997;85,453;0
06.02.1997;85,501;0
07.02.1997;85,577;0
10.02.1997;85,76;0
11.02.1997;85,903;0
12.02.1997;85,914;0
13.02.1997;86,012;0
14.02.1997;86,17;0
18.02.1997;86,382;0
19.02.1997;86,34;0
20.02.1997;86,354;0
21.02.1997;86,181;0
24.02.1997;86,234;0
25.02.1997;86,248;0
26.02.1997;86,153;0
27.02.1997;86,096;0
28.02.1997;86,3;0
03.03.1997;86,217;0
04.03.1997;86,231;0
05.03.1997;86,067;0
06.03.1997;85,972;0
07.03.1997;85,759;0
10.03.1997;85,745;0
11.03.1997;85,862;0
12.03.1997;85,752;0
13.03.1997;85,675;0
14.03.1997;85,639;0
17.03.1997;85,646;0
18.03.1997;85,186;0
19.03.1997;85,185;0
20.03.1997;85,199;0
21.03.1997;85,157;0
24.03.1997;85,197;0
25.03.1997;85,319;0
26.03.1997;85,308;0
27.03.1997;85,487;0
31.03.1997;85,53;0
01.04.1997;85,545;0
02.04.1997;85,261;0
03.04.1997;85,13;0
04.04.1997;85,201;0
07.04.1997;85,42;0
08.04.1997;85,601;0
09.04.1997;85,652;0
10.04.1997;85,617;0
11.04.1997;85,651;0
14.04.1997;85,575;0
15.04.1997;85,777;0
16.04.1997;85,95;0
17.04.1997;85,996;0
18.04.1997;85,962;0
21.04.1997;85,833;0
22.04.1997;85,804;0
23.04.1997;85,916;0
24.04.1997;85,932;0
25.04.1997;85,81;0
28.04.1997;85,797;0
29.04.1997;85,833;0
30.04.1997;86,092;0
01.05.1997;86,204;0
02.05.1997;86,324;0
05.05.1997;86,404;0
06.05.1997;86,44;0
07.05.1997;86,469;0
08.05.1997;86,482;0
09.05.1997;86,559;0
12.05.1997;86,669;0
13.05.1997;86,785;0
14.05.1997;86,821;0
15.05.1997;86,829;0
16.05.1997;86,831;0
19.05.1997;86,874;0
20.05.1997;86,844;0
21.05.1997;86,672;0
22.05.1997;86,425;0
23.05.1997;86,4;0
27.05.1997;86,362;0
28.05.1997;86,38;0
29.05.1997;86,383;0
30.05.1997;86,384;0
31.05.1997;86,362;0
02.06.1997;86,435;0
03.06.1997;86,627;0
04.06.1997;86,696;0
05.06.1997;86,757;0
06.06.1997;86,822;0
09.06.1997;86,984;0
10.06.1997;86,98;0
11.06.1997;87,036;0
12.06.1997;87,086;0
13.06.1997;87,281;0
16.06.1997;87,42;0
17.06.1997;87,359;0
18.06.1997;87,285;0
19.06.1997;87,347;0
20.06.1997;87,269;0
23.06.1997;87,325;0
24.06.1997;87,376;0
25.06.1997;87,504;0
26.06.1997;87,581;0
27.06.1997;87,633;0
30.06.1997;87,689;0
01.07.1997;87,654;0
02.07.1997;87,804;0
03.07.1997;87,819;0
07.07.1997;87,877;0
08.07.1997;88,141;0
09.07.1997;88,247;0
10.07.1997;88,162;0
11.07.1997;88,196;0
14.07.1997;88,205;0
15.07.1997;87,978;0
16.07.1997;88,007;0
17.07.1997;88,128;0
18.07.1997;88,157;0
21.07.1997;88,152;0
22.07.1997;88,23;0
23.07.1997;88,336;0
24.07.1997;88,273;0
25.07.1997;88,084;0
28.07.1997;88,045;0
29.07.1997;88,13;0
30.07.1997;88,272;0
31.07.1997;88,27;0
01.08.1997;88,162;0
04.08.1997;87,904;0
05.08.1997;87,746;0
06.08.1997;87,689;0
07.08.1997;87,807;0
08.08.1997;87,801;0
11.08.1997;87,898;0
12.08.1997;87,995;0
13.08.1997;87,838;0
14.08.1997;87,85;0
15.08.1997;87,866;0
18.08.1997;88,032;0
19.08.1997;88,215;0
20.08.1997;88,193;0
21.08.1997;88,13;0
