sep=;
"Date";"Line(Q.MERHE00)"
"31.12.2023";"343,885"
"29.12.2023";"343,823"
"28.12.2023";"343,843"
"27.12.2023";"343,685"
"26.12.2023";"343,55"
"22.12.2023";"343,428"
"21.12.2023";"343,325"
"20.12.2023";"342,974"
"19.12.2023";"342,519"
"18.12.2023";"342,196"
"15.12.2023";"342,016"
"14.12.2023";"341,195"
"13.12.2023";"338,356"
"12.12.2023";"337,783"
"11.12.2023";"337,515"
"08.12.2023";"337,248"
"07.12.2023";"337,233"
"06.12.2023";"336,902"
"05.12.2023";"336,299"
"04.12.2023";"335,724"
"01.12.2023";"334,904"
"30.11.2023";"334,19"
"29.11.2023";"333,48"
"28.11.2023";"332,09"
"27.11.2023";"331,987"
"24.11.2023";"331,575"
"23.11.2023";"331,469"
"22.11.2023";"331,137"
"21.11.2023";"330,743"
"20.11.2023";"330,587"
"17.11.2023";"330,462"
"16.11.2023";"330,253"
"15.11.2023";"330,433"
"14.11.2023";"329,47"
"13.11.2023";"328,417"
"10.11.2023";"328,145"
"09.11.2023";"328,431"
"08.11.2023";"328,087"
"07.11.2023";"327,789"
"06.11.2023";"327,855"
"03.11.2023";"327,441"
"02.11.2023";"326,891"
"01.11.2023";"325,309"
"31.10.2023";"324,904"
"30.10.2023";"324,005"
"27.10.2023";"323,439"
"26.10.2023";"323,273"
"25.10.2023";"323,715"
"24.10.2023";"323,505"
"23.10.2023";"322,098"
"20.10.2023";"321,981"
"19.10.2023";"322,408"
"18.10.2023";"323,552"
"17.10.2023";"324,184"
"16.10.2023";"324,685"
"13.10.2023";"324,953"
"12.10.2023";"325,315"
"11.10.2023";"324,993"
"10.10.2023";"324,053"
"09.10.2023";"323,253"
"06.10.2023";"323,341"
"05.10.2023";"323,737"
"04.10.2023";"323,761"
"03.10.2023";"325,02"
"02.10.2023";"325,737"
"30.09.2023";"325,772"
"29.09.2023";"325,733"
"28.09.2023";"324,985"
"27.09.2023";"325,737"
"26.09.2023";"325,942"
"25.09.2023";"326,583"
"22.09.2023";"326,636"
"21.09.2023";"326,862"
"20.09.2023";"327,364"
"19.09.2023";"327,249"
"18.09.2023";"327,259"
"15.09.2023";"327,321"
"14.09.2023";"326,792"
"13.09.2023";"326,317"
"12.09.2023";"326,29"
"11.09.2023";"326,106"
"08.09.2023";"325,604"
"07.09.2023";"325,462"
"06.09.2023";"325,14"
"05.09.2023";"325,275"
"04.09.2023";"325,131"
"01.09.2023";"324,818"
"31.08.2023";"324,742"
"30.08.2023";"324,474"
"29.08.2023";"324,412"
"28.08.2023";"323,716"
"25.08.2023";"323,713"
"24.08.2023";"323,775"
"23.08.2023";"323,373"
"22.08.2023";"323,053"
"21.08.2023";"322,878"
"18.08.2023";"322,937"
"17.08.2023";"323,162"
"16.08.2023";"323,764"
"15.08.2023";"323,821"
"14.08.2023";"324,163"
"11.08.2023";"324,059"
"10.08.2023";"324,052"
"09.08.2023";"323,842"
"08.08.2023";"323,57"
"07.08.2023";"323,649"
"04.08.2023";"323,403"
"03.08.2023";"323,379"
"02.08.2023";"323,868"
"01.08.2023";"324,236"
"31.07.2023";"323,918"
"28.07.2023";"323,631"
"27.07.2023";"323,375"
"26.07.2023";"322,587"
"25.07.2023";"322,582"
"24.07.2023";"322,576"
"21.07.2023";"322,295"
"20.07.2023";"322,267"
"19.07.2023";"322,202"
"18.07.2023";"321,866"
"17.07.2023";"321,677"
"14.07.2023";"322,163"
"13.07.2023";"322,006"
"12.07.2023";"320,949"
"11.07.2023";"319,898"
"10.07.2023";"319,661"
"07.07.2023";"319,823"
"06.07.2023";"320,094"
"05.07.2023";"321,008"
"04.07.2023";"321,117"
"03.07.2023";"320,914"
"30.06.2023";"320,407"
"29.06.2023";"320,227"
"28.06.2023";"320,29"
"27.06.2023";"320,226"
"26.06.2023";"320,46"
"23.06.2023";"320,66"
"22.06.2023";"320,6"
"21.06.2023";"321,357"
"20.06.2023";"321,93"
"19.06.2023";"322,231"
"16.06.2023";"322,192"
"15.06.2023";"321,74"
"14.06.2023";"322,435"
"13.06.2023";"322,147"
"12.06.2023";"321,858"
"09.06.2023";"321,338"
"08.06.2023";"321,046"
"07.06.2023";"320,872"
"06.06.2023";"320,423"
"05.06.2023";"319,943"
"02.06.2023";"319,416"
"01.06.2023";"318,753"
"31.05.2023";"318,714"
"30.05.2023";"318,582"
"29.05.2023";"317,902"
"26.05.2023";"317,828"
"25.05.2023";"317,823"
"24.05.2023";"318,034"
"23.05.2023";"318,681"
"22.05.2023";"318,808"
"19.05.2023";"318,495"
"18.05.2023";"317,984"
"17.05.2023";"317,648"
"16.05.2023";"317,703"
"15.05.2023";"317,701"
"12.05.2023";"317,542"
"11.05.2023";"317,444"
"10.05.2023";"317,065"
"09.05.2023";"316,988"
"08.05.2023";"317,082"
"05.05.2023";"316,87"
"04.05.2023";"316,744"
"03.05.2023";"316,901"
"02.05.2023";"316,92"
"01.05.2023";"316,611"
"30.04.2023";"316,669"
"28.04.2023";"316,596"
"27.04.2023";"315,969"
"26.04.2023";"315,63"
"25.04.2023";"316,144"
"24.04.2023";"316,239"
"21.04.2023";"316,395"
"20.04.2023";"316,556"
"19.04.2023";"316,878"
"18.04.2023";"317,169"
"17.04.2023";"316,806"
"14.04.2023";"316,57"
"13.04.2023";"316,286"
"12.04.2023";"315,977"
"11.04.2023";"315,709"
"10.04.2023";"315,655"
"06.04.2023";"315,509"
"05.04.2023";"315,51"
"04.04.2023";"315,995"
"03.04.2023";"315,703"
"31.03.2023";"315,171"
"30.03.2023";"314,778"
"29.03.2023";"313,762"
"28.03.2023";"313,169"
"27.03.2023";"313,089"
"24.03.2023";"312,807"
"23.03.2023";"313,611"
"22.03.2023";"313,39"
"21.03.2023";"312,772"
"20.03.2023";"310,079"
"17.03.2023";"312,293"
"16.03.2023";"312,706"
"15.03.2023";"313,183"
"14.03.2023";"314,247"
"13.03.2023";"314,35"
"10.03.2023";"315,632"
"09.03.2023";"316,786"
"08.03.2023";"317,139"
"07.03.2023";"317,388"
"06.03.2023";"317,037"
"03.03.2023";"315,922"
"02.03.2023";"315,44"
"01.03.2023";"316,112"
"28.02.2023";"316,325"
"27.02.2023";"316,971"
