sep=;
"Date";"Line(Q.MERG0BC)"
"31.12.2023";"324,77"
"29.12.2023";"324,729"
"28.12.2023";"325,446"
"27.12.2023";"325,952"
"26.12.2023";"324,168"
"22.12.2023";"323,865"
"21.12.2023";"324"
"20.12.2023";"324,325"
"19.12.2023";"323,443"
"18.12.2023";"322,957"
"15.12.2023";"323,59"
"14.12.2023";"323,364"
"13.12.2023";"320,413"
"12.12.2023";"317,357"
"11.12.2023";"316,633"
"08.12.2023";"316,696"
"07.12.2023";"317,788"
"06.12.2023";"318,065"
"05.12.2023";"317,028"
"04.12.2023";"315,345"
"01.12.2023";"315,557"
"30.11.2023";"313,437"
"29.11.2023";"314,111"
"28.11.2023";"312,253"
"27.11.2023";"311,41"
"24.11.2023";"309,568"
"23.11.2023";"310,368"
"22.11.2023";"310,536"
"21.11.2023";"310,282"
"20.11.2023";"309,883"
"17.11.2023";"309,412"
"16.11.2023";"308,996"
"15.11.2023";"307,632"
"14.11.2023";"308,577"
"13.11.2023";"305,408"
"10.11.2023";"305,218"
"09.11.2023";"304,993"
"08.11.2023";"306,602"
"07.11.2023";"305,535"
"06.11.2023";"304,45"
"03.11.2023";"305,391"
"02.11.2023";"303,829"
"01.11.2023";"301,865"
"31.10.2023";"299,986"
"30.10.2023";"300,143"
"27.10.2023";"300,5"
"26.10.2023";"300,292"
"25.10.2023";"299,118"
"24.10.2023";"300,514"
"23.10.2023";"299,417"
"20.10.2023";"298,493"
"19.10.2023";"297,836"
"18.10.2023";"299,078"
"17.10.2023";"300,238"
"16.10.2023";"301,872"
"13.10.2023";"302,952"
"12.10.2023";"301,893"
"11.10.2023";"303,709"
"10.10.2023";"302,4"
"09.10.2023";"300,368"
"06.10.2023";"299,904"
"05.10.2023";"300,797"
"04.10.2023";"300,54"
"03.10.2023";"299,726"
"02.10.2023";"301,6"
"30.09.2023";"303,244"
"29.09.2023";"303,212"
"28.09.2023";"302,552"
"27.09.2023";"302,989"
"26.09.2023";"303,834"
"25.09.2023";"304,151"
"22.09.2023";"305,518"
"21.09.2023";"304,667"
"20.09.2023";"306,277"
"19.09.2023";"305,94"
"18.09.2023";"306,439"
"15.09.2023";"306,313"
"14.09.2023";"306,901"
"13.09.2023";"306,848"
"12.09.2023";"306,786"
"11.09.2023";"306,601"
"08.09.2023";"306,945"
"07.09.2023";"306,508"
"06.09.2023";"305,873"
"05.09.2023";"306,438"
"04.09.2023";"307,632"
"01.09.2023";"307,733"
"31.08.2023";"308,92"
"30.08.2023";"308,199"
"29.08.2023";"308,141"
"28.08.2023";"306,826"
"25.08.2023";"306,437"
"24.08.2023";"306,569"
"23.08.2023";"306,831"
"22.08.2023";"304,314"
"21.08.2023";"303,8"
"18.08.2023";"305,028"
"17.08.2023";"304,517"
"16.08.2023";"305,051"
"15.08.2023";"305,719"
"14.08.2023";"306,409"
"11.08.2023";"306,724"
"10.08.2023";"307,679"
"09.08.2023";"308,912"
"08.08.2023";"308,821"
"07.08.2023";"307,662"
"04.08.2023";"308,021"
"03.08.2023";"306,411"
"02.08.2023";"308,115"
"01.08.2023";"308,85"
"31.07.2023";"310,166"
"28.07.2023";"309,649"
"27.07.2023";"308,874"
"26.07.2023";"310,094"
"25.07.2023";"309,765"
"24.07.2023";"309,918"
"21.07.2023";"309,925"
"20.07.2023";"309,626"
"19.07.2023";"311,125"
"18.07.2023";"310,215"
"17.07.2023";"309,376"
"14.07.2023";"309,323"
"13.07.2023";"310,098"
"12.07.2023";"308,353"
"11.07.2023";"306,195"
"10.07.2023";"305,667"
"07.07.2023";"305,088"
"06.07.2023";"305,211"
"05.07.2023";"307,251"
"04.07.2023";"307,948"
"03.07.2023";"307,871"
"30.06.2023";"308,274"
"29.06.2023";"307,375"
"28.06.2023";"309,023"
"27.06.2023";"308,245"
"26.06.2023";"308,915"
"23.06.2023";"308,421"
"22.06.2023";"307,361"
"21.06.2023";"308,573"
"20.06.2023";"308,589"
"19.06.2023";"307,595"
"16.06.2023";"307,71"
"15.06.2023";"307,803"
"14.06.2023";"306,931"
"13.06.2023";"306,58"
"12.06.2023";"307,576"
"09.06.2023";"307,242"
"08.06.2023";"307,454"
"07.06.2023";"306,506"
"06.06.2023";"307,852"
"05.06.2023";"307,622"
"02.06.2023";"307,801"
"01.06.2023";"308,77"
"31.05.2023";"308,179"
"30.05.2023";"307,257"
"29.05.2023";"305,19"
"26.05.2023";"304,855"
"25.05.2023";"304,981"
"24.05.2023";"305,769"
"23.05.2023";"306,325"
"22.05.2023";"306,211"
"19.05.2023";"306,361"
"18.05.2023";"306,575"
"17.05.2023";"307,735"
"16.05.2023";"308,337"
"15.05.2023";"309,152"
"12.05.2023";"310,017"
"11.05.2023";"310,954"
"10.05.2023";"309,99"
"09.05.2023";"308,624"
"08.05.2023";"308,984"
"05.05.2023";"310,183"
"04.05.2023";"311,019"
"03.05.2023";"311,628"
"02.05.2023";"310,801"
"01.05.2023";"308,932"
"28.04.2023";"311,034"
"27.04.2023";"309,361"
"26.04.2023";"310,484"
"25.04.2023";"311,387"
"24.04.2023";"309,578"
"21.04.2023";"308,695"
"20.04.2023";"309,039"
"19.04.2023";"308,208"
"18.04.2023";"308,73"
"17.04.2023";"308,188"
"14.04.2023";"309,027"
"13.04.2023";"309,91"
"12.04.2023";"310,265"
"11.04.2023";"310,119"
"10.04.2023";"310,36"
"06.04.2023";"311,761"
"05.04.2023";"311,601"
"04.04.2023";"310,876"
"03.04.2023";"309,981"
"31.03.2023";"308,626"
"30.03.2023";"307,115"
"29.03.2023";"306,527"
"28.03.2023";"306,4"
"27.03.2023";"306,98"
"24.03.2023";"308,844"
"23.03.2023";"308,86"
"22.03.2023";"307,835"
"21.03.2023";"305,944"
"20.03.2023";"306,15"
"17.03.2023";"306,92"
"16.03.2023";"304,851"
"15.03.2023";"306,16"
"14.03.2023";"304,301"
"13.03.2023";"306,376"
"10.03.2023";"305,202"
"09.03.2023";"302,531"
"08.03.2023";"302,054"
"07.03.2023";"302,267"
"06.03.2023";"302,346"
"03.03.2023";"302,401"
"02.03.2023";"300,644"
"01.03.2023";"301,253"
"28.02.2023";"302,599"
